09-04-2026 15:48:55 RAM 18070/125749MB (lfb 4x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,14%@972,0%@972,0%@972,1%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601] cpu@34.906C/35.531C tj@35.437C/37.843C soc012@34.593C/35.125C soc345@35.156C/37.187C VDD_GPU 3153mW/5348mW/24038mW VDD_CPU_SOC_MSS 7490mW/6500mW/12216mW VIN_SYS_5V0 6249mW/8007mW/18778mW VIN 24274mW/26942mW/68684mW
09-04-2026 15:48:56 RAM 19618/125749MB (lfb 4x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,2%@972,0%@972,1%@972,0%@972,1%@972,0%@972,0%@972,100%@2601,1%@2601] cpu@34.687C/35.531C tj@35.312C/37.843C soc012@34.593C/35.125C soc345@35.093C/37.187C VDD_GPU 2759mW/5319mW/24038mW VDD_CPU_SOC_MSS 7490mW/6511mW/12216mW VIN_SYS_5V0 6249mW/7987mW/18778mW VIN 23410mW/26901mW/68684mW
09-04-2026 15:48:57 RAM 21145/125749MB (lfb 5x4MB) CPU [2%@972,0%@972,1%@972,0%@972,0%@972,5%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601] cpu@34.562C/35.531C tj@35.156C/37.843C soc012@34.5C/35.125C soc345@34.937C/37.187C VDD_GPU 2759mW/5290mW/24038mW VDD_CPU_SOC_MSS 7490mW/6522mW/12216mW VIN_SYS_5V0 6249mW/7967mW/18778mW VIN 23338mW/26862mW/68684mW
09-04-2026 15:48:58 RAM 22676/125749MB (lfb 5x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601] cpu@34.593C/35.531C tj@35.125C/37.843C soc012@34.375C/35.125C soc345@34.812C/37.187C VDD_GPU 2759mW/5262mW/24038mW VDD_CPU_SOC_MSS 7490mW/6533mW/12216mW VIN_SYS_5V0 6249mW/7948mW/18778mW VIN 23792mW/26828mW/68684mW
09-04-2026 15:48:59 RAM 24216/125749MB (lfb 4x4MB) CPU [1%@972,0%@972,1%@972,0%@972,1%@972,1%@972,0%@972,0%@972,0%@972,5%@972,0%@972,2%@972,100%@2601,1%@2601] cpu@34.437C/35.531C tj@34.937C/37.843C soc012@34.406C/35.125C soc345@34.75C/37.187C VDD_GPU 2759mW/5235mW/24038mW VDD_CPU_SOC_MSS 7490mW/6543mW/12216mW VIN_SYS_5V0 6249mW/7930mW/18778mW VIN 22700mW/26785mW/68684mW
09-04-2026 15:49:00 RAM 25745/125749MB (lfb 5x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,5%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601] cpu@34.375C/35.531C tj@34.937C/37.843C soc012@34.281C/35.125C soc345@34.75C/37.187C VDD_GPU 2759mW/5209mW/24038mW VDD_CPU_SOC_MSS 7490mW/6553mW/12216mW VIN_SYS_5V0 6249mW/7912mW/18778mW VIN 23348mW/26749mW/68684mW
09-04-2026 15:49:01 RAM 27276/125749MB (lfb 4x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,3%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601] cpu@34.437C/35.531C tj@34.937C/37.843C soc012@34.125C/35.125C soc345@34.656C/37.187C VDD_GPU 2759mW/5184mW/24038mW VDD_CPU_SOC_MSS 7490mW/6563mW/12216mW VIN_SYS_5V0 6249mW/7895mW/18778mW VIN 22688mW/26707mW/68684mW
09-04-2026 15:49:02 RAM 28806/125749MB (lfb 4x4MB) CPU [1%@972,0%@972,1%@972,0%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601] cpu@34.281C/35.531C tj@34.781C/37.843C soc012@34.093C/35.125C soc345@34.593C/37.187C VDD_GPU 2759mW/5159mW/24038mW VDD_CPU_SOC_MSS 7490mW/6572mW/12216mW VIN_SYS_5V0 6249mW/7879mW/18778mW VIN 23614mW/26676mW/68684mW
09-04-2026 15:49:03 RAM 30335/125749MB (lfb 5x4MB) CPU [1%@972,0%@972,1%@972,0%@972,0%@972,2%@972,0%@972,0%@972,0%@972,5%@972,1%@972,1%@972,100%@2601,0%@2601] cpu@34.218C/35.531C tj@34.718C/37.843C soc012@34.062C/35.125C soc345@34.531C/37.187C VDD_GPU 2759mW/5136mW/24038mW VDD_CPU_SOC_MSS 7490mW/6581mW/12216mW VIN_SYS_5V0 6249mW/7862mW/18778mW VIN 23366mW/26644mW/68684mW
09-04-2026 15:49:04 RAM 31870/125749MB (lfb 5x4MB) CPU [1%@972,0%@972,1%@972,0%@972,0%@972,1%@972,0%@972,0%@972,0%@972,6%@972,2%@972,2%@972,100%@2601,0%@2601] cpu@34.25C/35.531C tj@34.718C/37.843C soc012@34.093C/35.125C soc345@34.5C/37.187C VDD_GPU 2759mW/5112mW/24038mW VDD_CPU_SOC_MSS 7490mW/6590mW/12216mW VIN_SYS_5V0 6350mW/7848mW/18778mW VIN 23076mW/26610mW/68684mW
09-04-2026 15:49:05 RAM 33409/125749MB (lfb 5x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,5%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601] cpu@34.093C/35.531C tj@34.687C/37.843C soc012@34.031C/35.125C soc345@34.406C/37.187C VDD_GPU 2759mW/5090mW/24038mW VDD_CPU_SOC_MSS 7490mW/6599mW/12216mW VIN_SYS_5V0 6249mW/7833mW/18778mW VIN 22952mW/26575mW/68684mW
09-04-2026 15:49:06 RAM 34937/125749MB (lfb 5x4MB) CPU [1%@972,0%@972,1%@972,0%@972,0%@972,1%@972,0%@972,0%@972,0%@972,1%@972,0%@972,0%@972,100%@2601,0%@2601] cpu@34.187C/35.531C tj@34.687C/37.843C soc012@33.937C/35.125C soc345@34.468C/37.187C VDD_GPU 2759mW/5068mW/24038mW VDD_CPU_SOC_MSS 7490mW/6607mW/12216mW VIN_SYS_5V0 6249mW/7818mW/18778mW VIN 23280mW/26545mW/68684mW
